Algorithm,Problem,M,Run,IGD,HV
IVFSPEA2_P2_C05,ZDT6,2,300015,0.003050448299811508,0.3889320907863203
IVFSPEA2_P2_C05,ZDT6,2,300016,0.00306536750690813,0.3889289121648461
IVFSPEA2_P2_C05,ZDT6,2,300017,0.0030801724152235144,0.38890321207097356
IVFSPEA2_P2_C05,ZDT6,2,300018,0.0030858920006819708,0.38891308524886264
IVFSPEA2_P2_C05,ZDT6,2,300019,0.003065288282162565,0.388937378344753
IVFSPEA2_P2_C05,ZDT6,2,300020,0.0030988296748332123,0.3889110952228449
IVFSPEA2_P2_C05,ZDT6,2,300021,0.0030767616401706143,0.3889232265749837
IVFSPEA2_P2_C05,ZDT6,2,300022,0.0030630620354308033,0.3889138412077963
IVFSPEA2_P2_C05,ZDT6,2,300023,0.00305429287682362,0.38893351356452505
IVFSPEA2_P2_C05,ZDT6,2,300024,0.0031023311885226947,0.38890794048968025
IVFSPEA2_P2_C05,ZDT6,2,300025,0.0030720150440813453,0.38892808998654915
IVFSPEA2_P2_C05,ZDT6,2,300026,0.0030744733259203878,0.3889235226516196
IVFSPEA2_P2_C05,ZDT6,2,300027,0.003051688319144757,0.38894323616638093
IVFSPEA2_P2_C05,ZDT6,2,300028,0.0031617663832711235,0.3888943454136359
IVFSPEA2_P2_C05,ZDT6,2,300029,0.003092879732506492,0.38892695866358745
IVFSPEA2_P2_C05,ZDT6,2,300030,0.003044476197649459,0.3889430839544187
IVFSPEA2_P2_C05,ZDT6,2,300031,0.0030529543912215695,0.3889455852534931
IVFSPEA2_P2_C05,ZDT6,2,300032,0.0031087542054948204,0.38889791480774694
IVFSPEA2_P2_C05,ZDT6,2,300033,0.0030723178495419717,0.38893585593982316
IVFSPEA2_P2_C05,ZDT6,2,300034,0.0031116703819250736,0.38890465456109796
IVFSPEA2_P2_C05,ZDT6,2,300035,0.003076442141835919,0.38890738460636587
IVFSPEA2_P2_C05,ZDT6,2,300036,0.0030786816808074536,0.38893328168753366
IVFSPEA2_P2_C05,ZDT6,2,300037,0.0030994502942791147,0.3889140606907588
IVFSPEA2_P2_C05,ZDT6,2,300038,0.0030735868833984513,0.3889241643337427
IVFSPEA2_P2_C05,ZDT6,2,300039,0.003075259495275039,0.3889182810355411
IVFSPEA2_P2_C05,ZDT6,2,300040,0.0030780093198830316,0.3889165589298258
IVFSPEA2_P2_C05,ZDT6,2,300041,0.0030732228003119257,0.38891228634639974
IVFSPEA2_P2_C05,ZDT6,2,300042,0.0030823801373279624,0.3889243266099165
IVFSPEA2_P2_C05,ZDT6,2,300043,0.0030873501248148126,0.3889396997453417
IVFSPEA2_P2_C05,ZDT6,2,300044,0.0030694835911640387,0.3889136130503142
IVFSPEA2_P2_C05,ZDT6,2,300045,0.0030620579021156872,0.3889104617433495
IVFSPEA2_P2_C05,ZDT6,2,300046,0.0030955175103488178,0.38891922542135654
IVFSPEA2_P2_C05,ZDT6,2,300047,0.003055785006771089,0.3889291517400389
IVFSPEA2_P2_C05,ZDT6,2,300048,0.003108061023420769,0.3889052545542832
IVFSPEA2_P2_C05,ZDT6,2,300049,0.003081583882977959,0.38890466273404684
IVFSPEA2_P2_C05,ZDT6,2,300050,0.003062410933458556,0.3889191192548458
IVFSPEA2_P2_C05,ZDT6,2,300051,0.003032113094330497,0.3889385784819472
IVFSPEA2_P2_C05,ZDT6,2,300052,0.00309530363306147,0.38892084327902565
IVFSPEA2_P2_C05,ZDT6,2,300053,0.0030942546760838285,0.38891523067702377
IVFSPEA2_P2_C05,ZDT6,2,300054,0.00308995601751461,0.3889264088597365
IVFSPEA2_P2_C05,ZDT6,2,300055,0.0030873151373021464,0.38893037848684553
IVFSPEA2_P2_C05,ZDT6,2,300056,0.003048408984876261,0.38893511806592346
