Problem,R,C,IGD_Median,Count,IQR
DTLZ7_M3,0.25,0.16,0.06048266531401815,30,0.0019029923202618024
DTLZ7_M3,0.25,0.21,0.06048266531401815,30,0.0019029923202618024
DTLZ7_M3,0.25,0.27,0.06017644736205659,30,0.002098201435957618
DTLZ7_M3,0.25,0.32,0.06017644736205659,30,0.002098201435957618
DTLZ7_M3,0.25,0.42,0.06017644736205659,30,0.002098201435957618
DTLZ7_M3,0.25,0.53,0.05997860047163575,30,0.001456635938350076
DTLZ7_M3,0.25,0.64,0.05997860047163575,30,0.001456635938350076
DTLZ7_M3,0.3,0.05,0.05997860047163575,30,0.001456635938350076
DTLZ7_M3,0.3,0.07,0.06013055837174841,30,0.0024160511010648603
DTLZ7_M3,0.3,0.11,0.06013055837174841,30,0.0024160511010648603
DTLZ7_M3,0.3,0.16,0.06013055837174841,30,0.0024160511010648603
DTLZ7_M3,0.3,0.21,0.06064901333497795,30,0.0019502740546432015
DTLZ7_M3,0.3,0.27,0.06064901333497795,30,0.0019502740546432015
DTLZ7_M3,0.3,0.32,0.06064901333497795,30,0.0019502740546432015
DTLZ7_M3,0.3,0.42,0.06017875116729436,30,0.0016688996808496073
DTLZ7_M3,0.3,0.53,0.06017875116729436,30,0.0016688996808496073
DTLZ7_M3,0.3,0.64,0.06017875116729436,30,0.0016688996808496073
