Phase,ConfigID,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,ProblemCoverage,MeanCombinedRank,MeanNormRankIGD,MeanNormRankHV,MeanIGDMedian,MeanHVMedian,ExpectedProblems,CompleteCoverage
C,C07,0.175,0.16,2,0.5,0.2,0,1,Local refine EARM around center,12,0.5511904761904761,0.5499999999999999,0.5523809523809523,0.07606807943470234,0.5209289406379005,12,True
C,C35,0.225,0.21,2,0.5,0.2,0,1,Local refine EARM around center,12,0.5535714285714285,0.5499999999999999,0.5571428571428572,0.17956308561371184,0.5035759575299407,12,True
C,C11,0.175,0.21,2,0.5,0.2,0,1,Local refine EARM around center,12,0.555952380952381,0.5,0.6119047619047618,0.11630666926949555,0.5034496310648985,12,True
C,C02,0.175,0.12,2,0.3,0.1,0,1,Local refine EARL around center,12,0.5714285714285714,0.611904761904762,0.530952380952381,0.11639809875889384,0.5035691067476173,12,True
C,C08,0.175,0.16,2,0.5,0.2,1,1,Local refine EARN around center,12,0.669047619047619,0.6428571428571429,0.6952380952380953,0.07557901326361617,0.5204995832320575,12,True
C,C20,0.2,0.16,2,0.5,0.2,1,1,Local refine EARN around center,12,0.6738095238095237,0.638095238095238,0.7095238095238096,0.07538412097142778,0.5204935929353046,12,True
C,C28,0.225,0.12,2,0.5,0.2,1,1,Local refine EARN around center,12,0.6845238095238096,0.65,0.719047619047619,0.07583065017332707,0.5203341095438787,12,True
C,C24,0.2,0.21,2,0.5,0.2,1,1,Local refine EARN around center,12,0.6904761904761904,0.6619047619047619,0.719047619047619,0.0758154087943627,0.5204411784715149,12,True
C,C12,0.175,0.21,2,0.5,0.2,1,1,Local refine EARN around center,12,0.7047619047619048,0.6547619047619048,0.7547619047619047,0.07563812986873192,0.5202831251390042,12,True
C,C16,0.2,0.12,2,0.5,0.2,1,1,Local refine EARN around center,12,0.7047619047619048,0.6619047619047619,0.7476190476190476,0.07565785324472708,0.5203157483688213,12,True
C,C32,0.225,0.16,2,0.5,0.2,1,1,Local refine EARN around center,12,0.7047619047619048,0.692857142857143,0.7166666666666667,0.0756282798525025,0.5205025731731118,12,True
C,C36,0.225,0.21,2,0.5,0.2,1,1,Local refine EARN around center,12,0.7321428571428572,0.7380952380952381,0.7261904761904762,0.07593265235936054,0.5203404905814435,12,True
C,C04,0.175,0.12,2,0.5,0.2,1,1,Local refine EARN around center,12,0.7761904761904762,0.7595238095238095,0.7928571428571428,0.07584739275332947,0.5202897783243122,12,True
