Phase,ConfigID,ProblemTag,ProblemName,M,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,Runs,IGD_Median,IGD_Mean,IGD_IQR,HV_Median,HV_Mean,HV_IQR
A,A07,WFG5_M3,WFG5,3,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.22220690992530684,0.22242088076231425,0.0025125253546304793,0.5147044693887928,0.5148332744004762,0.0017938183310235445
A,A07,WFG9_M2,WFG9,2,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.015656831148044906,0.030170441931365418,0.0025372226189875596,0.3430698397019214,0.33501939102880274,0.0020989561777491894
A,A07,ZDT1_M2,ZDT1,2,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003907113719642731,0.003915708147508104,8.602101180720401e-05,0.7203410406888877,0.7203523844938365,0.0001353944314144151
A,A07,ZDT6_M2,ZDT6,2,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003076670637957025,0.003078957623683969,2.5806921149458106e-05,0.38891120346106534,0.388911364907271,2.2821235222514336e-05
A,A08,DTLZ1_M3,DTLZ1,3,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.020156286947224544,0.020156443176257456,0.00018673048193465838,0.8421299537249691,0.8420388982979803,0.0006071634117178482
A,A08,DTLZ2_M3,DTLZ2,3,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05414730871462459,0.054154626605602295,0.0006775522870834036,0.5560569790575238,0.5560810183071074,0.0024490618821211285
A,A08,DTLZ4_M3,DTLZ4,3,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05454796958025042,0.19480782004937305,0.0007668194369465781,0.5547658746405646,0.48981783148624136,0.0034076684486216147
A,A08,DTLZ7_M3,DTLZ7,3,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.060317892790703154,0.0697694792707764,0.0012257827857789852,0.2771155187763423,0.27600076583620203,0.0009986673343742591
A,A08,MaF1_M3,MaF1,3,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.041527089990077856,0.04160637125361082,0.0006458615122058725,0.21907317089386746,0.21893203789396123,0.0010574008321082295
A,A08,MaF5_M3,MaF5,3,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.24696888098259293,1.0928802487420861,1.7771760602062743,0.5540935603183612,0.45513285909568996,0.208705542848582
A,A08,WFG2_M3,WFG2,3,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.1717255683293618,0.1721039565057002,0.006756548175857802,0.9296814331658234,0.929581882431047,0.0018065348370794876
A,A08,WFG4_M2,WFG4,2,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.012839059012904627,0.012870192517987178,0.00030744619152860836,0.34700918732530384,0.34698718203615875,0.000133363926578145
A,A08,WFG5_M3,WFG5,3,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.22184741431430566,0.22219362000144421,0.0017920285765469224,0.5146109227758295,0.5143662755906536,0.002074941177884204
A,A08,WFG9_M2,WFG9,2,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.015750558677663777,0.016508582578729846,0.0029980026677203127,0.3431312486971499,0.3424488171245631,0.0022940309884433296
A,A08,ZDT1_M2,ZDT1,2,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003925081886726061,0.0039229333575849954,6.301758753899387e-05,0.7203587499998008,0.7203542902325711,0.0001363158400246034
A,A08,ZDT6_M2,ZDT6,2,0.05,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.0030718271039701034,0.0030742547379202035,3.4357549664370494e-05,0.38891498558585685,0.3889117872068671,2.38730150591282e-05
A,A09,DTLZ1_M3,DTLZ1,3,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.020152947653755145,0.020174844397584706,0.00016598570375190094,0.8421761663443341,0.8418697316958025,0.0008034828608237676
A,A09,DTLZ2_M3,DTLZ2,3,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05407197983801164,0.053989466090860985,0.0006319796240591841,0.556197184160742,0.5564470314712018,0.0017355235094349553
A,A09,DTLZ4_M3,DTLZ4,3,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05482176714436276,0.23272301221791686,0.4866407074017175,0.5553314861144358,0.47929915570665715,0.20869598170885562
A,A09,DTLZ7_M3,DTLZ7,3,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.06027985552075381,0.06969290291166638,0.0015497761276634103,0.2772202646398261,0.2759390939864104,0.0008500299511613463
A,A09,MaF1_M3,MaF1,3,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.04137797860126569,0.04150223407762289,0.0006190521869474247,0.21909159146160634,0.21907403963378635,0.0008488075446882737
A,A09,MaF5_M3,MaF5,3,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.24518614405836114,0.9386634808937432,1.2492290440667748,0.5548253706985953,0.46908970564677266,0.20912368585503127
A,A09,WFG2_M3,WFG2,3,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.17468098392480763,0.17567472436087506,0.007393993713091296,0.9295749315396495,0.9293438120384206,0.0013315269996933
A,A09,WFG4_M2,WFG4,2,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.012805186228724352,0.01281124575060159,0.00024179049176528342,0.3470360166975611,0.3470219754678521,0.0002108596210739222
A,A09,WFG5_M3,WFG5,3,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.22145287974225009,0.22194429943721652,0.0022339384718985944,0.5150839542930703,0.5146554660851482,0.0012339175517027678
A,A09,WFG9_M2,WFG9,2,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.016239754770748193,0.030502190342089255,0.0027702488499447685,0.3426876932817163,0.33467722807820327,0.002544333415746891
A,A09,ZDT1_M2,ZDT1,2,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003928418593884238,0.003924290826106795,0.00010613904263979002,0.7203300194991098,0.7203570450369655,0.00019736860372487897
A,A09,ZDT6_M2,ZDT6,2,0.05,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.0030817148417674194,0.0030826974803048325,2.3649821188629402e-05,0.3889136519372841,0.3889099255718322,1.9622390886986363e-05
A,A10,DTLZ1_M3,DTLZ1,3,0.05,0.21,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.02014794678138069,0.020138870525256074,0.00022129728061956802,0.8421928025156953,0.8418481298718016,0.0011051117010230094
