algo,problem,group,M,D,run,IGD,HV
IVFNSGAII,DTLZ5,DTLZ,2,11,4003,0.0048420312977948,0.3466794194382332
IVFNSGAII,DTLZ5,DTLZ,2,11,4004,0.0050303991077844,0.3465776387478034
IVFNSGAII,DTLZ5,DTLZ,2,11,4005,0.0049668664221337,0.346783991466374
IVFNSGAII,DTLZ5,DTLZ,2,11,4006,0.0051875074959667,0.3463151016827678
IVFNSGAII,DTLZ5,DTLZ,2,11,4007,0.0054170072106298,0.3463032674403368
IVFNSGAII,DTLZ5,DTLZ,2,11,4008,0.0052478724321071,0.3461399339264661
IVFNSGAII,DTLZ5,DTLZ,2,11,4009,0.0052968483115893,0.3465537735333523
IVFNSGAII,DTLZ5,DTLZ,2,11,4010,0.0052340093766582,0.3464705621194163
IVFNSGAII,DTLZ5,DTLZ,2,11,4011,0.0053824879842917,0.3464732196837867
IVFNSGAII,DTLZ5,DTLZ,2,11,4012,0.0053614792017316,0.3465756235036771
IVFNSGAII,DTLZ5,DTLZ,2,11,4013,0.0055202149770068,0.3465246706835412
IVFNSGAII,DTLZ5,DTLZ,2,11,4014,0.0054396943381456,0.3466148731790022
IVFNSGAII,DTLZ5,DTLZ,2,11,4015,0.004856013778803,0.347036812736901
IVFNSGAII,DTLZ5,DTLZ,2,11,4016,0.0053083007381129,0.3460976201949343
IVFNSGAII,DTLZ5,DTLZ,2,11,4017,0.0050895462653822,0.3468164469087758
IVFNSGAII,DTLZ5,DTLZ,2,11,4018,0.005628321888757,0.3465072711251239
IVFNSGAII,DTLZ5,DTLZ,2,11,4019,0.0054954136117124,0.3466708657529649
IVFNSGAII,DTLZ5,DTLZ,2,11,4020,0.0052527553231937,0.3464887263336496
IVFNSGAII,DTLZ5,DTLZ,2,11,4021,0.0047736358704641,0.3467902639581166
IVFNSGAII,DTLZ5,DTLZ,2,11,4022,0.0051023104751488,0.3465978696236183
IVFNSGAII,DTLZ5,DTLZ,2,11,4023,0.0050493690798493,0.3463305360105012
IVFNSGAII,DTLZ5,DTLZ,2,11,4024,0.0051856623489925,0.3465943145593549
IVFNSGAII,DTLZ5,DTLZ,2,11,4025,0.0049074687382891,0.3468062845732011
IVFNSGAII,DTLZ5,DTLZ,2,11,4026,0.0050797152996628,0.3466492016856035
IVFNSGAII,DTLZ5,DTLZ,2,11,4027,0.0049452653973697,0.3469477688757765
IVFNSGAII,DTLZ5,DTLZ,2,11,4028,0.0053112790450924,0.3465955318924283
IVFNSGAII,DTLZ5,DTLZ,2,11,4029,0.0048390488632734,0.3466605759154372
IVFNSGAII,DTLZ5,DTLZ,2,11,4030,0.0050044282283896,0.3465419294495171
IVFNSGAII,DTLZ5,DTLZ,3,12,4001,0.0058072475559498,0.1989818061776758
IVFNSGAII,DTLZ5,DTLZ,3,12,4002,0.0055528858367218,0.1991013785239762
IVFNSGAII,DTLZ5,DTLZ,3,12,4003,0.0062865931942602,0.1990972169857064
IVFNSGAII,DTLZ5,DTLZ,3,12,4004,0.0062327748589503,0.1990792019415469
IVFNSGAII,DTLZ5,DTLZ,3,12,4005,0.005501370661474,0.1991612784171326
IVFNSGAII,DTLZ5,DTLZ,3,12,4006,0.0059685422206864,0.1990527665398961
IVFNSGAII,DTLZ5,DTLZ,3,12,4007,0.006004688043834,0.1991400101381036
IVFNSGAII,DTLZ5,DTLZ,3,12,4008,0.0060132615120297,0.1988800960878694
IVFNSGAII,DTLZ5,DTLZ,3,12,4009,0.0057427116842594,0.1990598333041597
IVFNSGAII,DTLZ5,DTLZ,3,12,4010,0.005900151425457,0.1991827254875908
IVFNSGAII,DTLZ5,DTLZ,3,12,4011,0.006137643408341,0.1989939756384647
IVFNSGAII,DTLZ5,DTLZ,3,12,4012,0.0054816777357496,0.1995211660977027
IVFNSGAII,DTLZ5,DTLZ,3,12,4013,0.0059618390425788,0.1988918921722829
IVFNSGAII,DTLZ5,DTLZ,3,12,4014,0.0055351767686299,0.1992369265939138
IVFNSGAII,DTLZ5,DTLZ,3,12,4015,0.005551800440653,0.1993457514967735
IVFNSGAII,DTLZ5,DTLZ,3,12,4016,0.005586787831261,0.1993099619961302
IVFNSGAII,DTLZ5,DTLZ,3,12,4017,0.0061408434284533,0.1991405106674777
IVFNSGAII,DTLZ5,DTLZ,3,12,4018,0.0062291447519677,0.1992160841301826
IVFNSGAII,DTLZ5,DTLZ,3,12,4019,0.0065571813436593,0.1993079496166599
IVFNSGAII,DTLZ5,DTLZ,3,12,4020,0.006026826444325,0.1992145412376364
IVFNSGAII,DTLZ5,DTLZ,3,12,4021,0.0059697824605295,0.1989269240608848
IVFNSGAII,DTLZ5,DTLZ,3,12,4022,0.0058383705030655,0.1992413365276782
IVFNSGAII,DTLZ5,DTLZ,3,12,4023,0.0064508965184631,0.1989956097739164
IVFNSGAII,DTLZ5,DTLZ,3,12,4024,0.0060723836444823,0.1990068978408849
IVFNSGAII,DTLZ5,DTLZ,3,12,4025,0.0062754382224283,0.1992271640412169
IVFNSGAII,DTLZ5,DTLZ,3,12,4026,0.0063305006719764,0.1990055645443287
