case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2,label,family,m_obj,outcome_ctrl_vs_ivf,outcome_ctrl_vs_spea2,wtl_ctrl_vs_ivf,wtl_ctrl_vs_spea2
dtlz7_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0047131352609789,9.901367099632383e-05,0.0047131352609789,9.901367099632383e-05,0.0047841898950577,8.51351923241133e-05,1.0,1.0,0.5,0.000418396666646,0.0010408892682412,0.2411111111111111,HELPS,dtlz,2,tie,win,T,W
dtlz7_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0593293113271136,0.0012950772393612,0.0593293113271136,0.0012950772393612,0.0598139930964289,0.0022219265526485,1.0,1.0,0.5,0.4898460879921913,0.5430902279913425,0.4088888888888889,HELPS,dtlz,3,tie,tie,T,T
maf1_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0037381584061553,7.959606027369177e-05,0.0037381584061553,7.959606027369177e-05,0.0038096045651704,5.5640944717386814e-05,1.0,1.0,0.5,2.6885420083999637e-05,9.141042828559877e-05,0.2,HELPS,maf,2,tie,win,T,W
maf1_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0408814867051322,0.0004665952622855,0.0408814867051322,0.0004665952622855,0.0414709303621769,0.0006050136792329,1.0,1.0,0.5,2.551823854446411e-07,1.446033517519633e-06,0.1377777777777777,HELPS,maf,3,tie,win,T,W
maf2_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0021175016722719,3.567665999643652e-05,0.0021175016722719,3.567665999643652e-05,0.0021843512318951,3.558862595908537e-05,1.0,1.0,0.5,4.6566128730773926e-08,3.6536501004145697e-07,0.0655555555555555,HELPS,maf,2,tie,win,T,W
maf2_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0308275194662572,0.001227092920894,0.0308275194662572,0.001227092920894,0.0321054905160923,0.0015060410057117,1.0,1.0,0.5,0.0001373942941427,0.0004004062286445,0.1588888888888888,HELPS,maf,3,tie,win,T,W
maf3_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0037670426769458,7.131480127449017e-05,0.0037670426769458,7.131480127449017e-05,0.0043856070623874,0.0007488237187252,1.0,1.0,0.5,1.862645149230957e-09,6.332993507385254e-08,0.03,HELPS,maf,2,tie,win,T,W
maf3_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0319439225530468,0.0005971827920976,0.0319439225530468,0.0005971827920976,0.0328807568824841,0.0009383047489106,1.0,1.0,0.5,4.421919584274292e-06,1.9610252069390335e-05,0.1377777777777777,HELPS,maf,3,tie,win,T,W
maf4_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0124793662631548,0.0001567709416074,0.0124793662631548,0.0001567709416074,0.0126959469943135,0.0002003455665311,1.0,1.0,0.5,3.049522638320923e-05,0.0001003391319705,0.16,HELPS,maf,2,tie,win,T,W
maf4_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.2362587792130824,0.0036236846451114,0.2362587792130824,0.0036236846451114,0.239991324852811,0.0041998912444609,1.0,1.0,0.5,2.6885420083999637e-05,9.141042828559877e-05,0.1866666666666666,HELPS,maf,3,tie,win,T,W
maf5_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0126862674824623,0.0003347865712964,0.0126862674824623,0.0003237793086502,0.0128577533792048,1.9957229405365688,0.3173105078629141,0.7552651206767836,0.5016666666666667,0.0145380161702632,0.0231699632713571,0.3144444444444444,HELPS,maf,2,tie,win,T,W
maf5_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.2433360226630891,1.251561768901518,0.2433360226630891,1.251561768901518,0.2444387734571915,0.0046677110607388,1.0,1.0,0.5,0.7000329215079546,0.7361170927197048,0.4688888888888889,NOT_HELPS,maf,3,tie,tie,T,T
maf6_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0040508630005858,3.9908322420277934e-05,0.0040508630005858,3.9908322420277934e-05,0.0040834398801645,4.560545226944823e-05,1.0,1.0,0.5,0.029325857758522,0.0427319641624178,0.3177777777777777,HELPS,maf,2,tie,win,T,W
maf6_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0040564139992605,3.258862983415191e-05,0.0040564139992605,3.258862983415191e-05,0.0040858492557312,3.647097444144792e-05,1.0,1.0,0.5,0.0012321043759584,0.0024168201220723,0.2177777777777777,HELPS,maf,3,tie,win,T,W
maf7_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0046799160534658,0.0001081475343524,0.0046799160534658,0.0001081475343524,0.0047531540107673,7.848816290741568e-05,1.0,1.0,0.5,0.0021877754479646,0.004057329012589,0.2433333333333333,HELPS,maf,2,tie,win,T,W
maf7_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0593293113271136,0.0012950772393612,0.0593293113271136,0.0012950772393612,0.0598139930964289,0.0022219265526485,1.0,1.0,0.5,0.4898460879921913,0.5430902279913425,0.4088888888888889,HELPS,maf,3,tie,tie,T,T
wfg1_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0204113361452777,0.0153455813247319,0.0232458063297232,0.0145155813141417,0.0271508973165673,0.0365156774830571,0.564653060906117,1.0,0.4238888888888888,0.029325857758522,0.0427319641624178,0.3177777777777777,HELPS,wfg,2,tie,win,T,W
wfg1_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.1532487789604856,0.0041815739224733,0.1537548960953043,0.0029001833875522,0.1544640736565585,0.0050158182774642,0.6554384250193834,1.0,0.4866666666666667,0.685047073289752,0.7278625153703615,0.4577777777777778,NOT_HELPS,wfg,3,tie,tie,T,T
wfg2_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0111575732722941,0.0003455441205331,0.0112641716352293,0.0002906908381363,0.0110195082282502,0.0002098765512924,0.3284698575735092,0.7614528516476805,0.4188888888888888,0.0006084088236093,0.0013490804349598,0.7811111111111111,NOT_HELPS,wfg,2,tie,loss,T,L
wfg2_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.1714742622465947,0.0059494067338849,0.1796465054059178,0.0088638887603668,0.1694895192268669,0.0063453516324722,1.1920928955078125e-06,1.519918441772461e-05,0.1322222222222222,0.2366523444652557,0.2839828133583069,0.6055555555555555,NOT_HELPS,wfg,3,win,tie,W,T
