problem,M,ivf_algo,base_algo,metric,p_value,a12,a12_label,n_pairs,median_ivf,median_base,p_adj
DTLZ7,2,IVFNSGAIII,NSGAIII,Best_IGD,0.07672121562063694,0.6211111111111111,negligible,30,0.0049528432632053,0.00493703834674325,0.17390142207344372
DTLZ7,2,IVFNSGAIII,NSGAIII,AUC_HV,3.2391399145126343e-06,0.08888888888888889,medium,30,21819.979783631825,21832.640445735018,2.753268927335739e-05
DTLZ7,2,IVFNSGAIII,NSGAIII,Final_HV,0.022098854184150696,0.6766666666666666,small,30,0.24281188004633258,0.2428062095304348,0.06830554929646579
DTLZ7,2,IVFNSGAIII,NSGAIII,Best_HV,0.026228994131088257,0.3388888888888889,small,30,0.2428336515653721,0.24284010335259085,0.06221761398537214
DTLZ7,2,IVFNSGAII,NSGAII,AUC_IGD,6.910413503646851e-07,0.8088888888888889,small,30,496.51470772441724,486.3615727150998,1.762155443429947e-05
DTLZ7,2,IVFNSGAII,NSGAII,Final_IGD,0.11417667381465435,0.6666666666666666,small,30,0.0054793273384937,0.0054129006344733,0.27083769137429636
DTLZ7,2,IVFNSGAII,NSGAII,Best_IGD,0.25343610532581806,0.6044444444444445,negligible,30,0.00509731797471375,0.0050430816753533995,0.3692926106176206
DTLZ7,2,IVFNSGAII,NSGAII,AUC_HV,0.08406547829508781,0.3488888888888889,small,30,21831.85144386634,21833.80186480092,0.16178639219054636
DTLZ7,2,IVFNSGAII,NSGAII,Final_HV,0.036434996873140335,0.3233333333333333,small,30,0.24266665579794225,0.24269399757250154,0.10323249114056428
DTLZ7,2,IVFNSGAII,NSGAII,Best_HV,0.25343610532581806,0.5477777777777778,negligible,30,0.2427756089817845,0.24277292252734373,0.3590344825449089
DTLZ7,3,IVFNSGAIII,NSGAIII,AUC_IGD,0.001718590036034584,0.7766666666666666,small,30,7099.406949017454,7013.906021611131,0.007968008348887617
DTLZ7,3,IVFNSGAIII,NSGAIII,Final_IGD,0.17059839516878128,0.4122222222222222,negligible,30,0.0757161091490364,0.07738583436072495,0.36885013172821124
DTLZ7,3,IVFNSGAIII,NSGAIII,Best_IGD,0.10943205840885639,0.6133333333333333,negligible,30,0.07245073682449354,0.07114853709491001,0.22324139915406704
DTLZ7,3,IVFNSGAIII,NSGAIII,AUC_HV,0.0004183966666460037,0.12222222222222222,medium,30,23936.81647974049,24098.317220720848,0.0017070583999156952
DTLZ7,3,IVFNSGAIII,NSGAIII,Final_HV,0.8871948085725307,0.4988888888888889,negligible,30,0.2685312912923976,0.268631099818202,0.9032264724373817
DTLZ7,3,IVFNSGAIII,NSGAIII,Best_HV,0.08793856762349606,0.3566666666666667,negligible,30,0.2707921994119492,0.2713080607358713,0.15202938809485758
DTLZ7,3,IVFNSGAII,NSGAII,AUC_IGD,0.871207794174552,0.5188888888888888,negligible,30,7032.70197921063,7014.956311606509,0.9354020526926768
DTLZ7,3,IVFNSGAII,NSGAII,Final_IGD,0.5425279382616282,0.47444444444444445,negligible,30,0.0766654386511594,0.07517569636170379,0.683829116821289
DTLZ7,3,IVFNSGAII,NSGAII,Best_IGD,0.6263462882488966,0.5444444444444444,negligible,30,0.07157849110114514,0.07120146024794795,0.7516155458986759
DTLZ7,3,IVFNSGAII,NSGAII,AUC_HV,0.0061949919909238815,0.7411111111111112,small,30,24024.50721009459,23979.797892598548,0.017552477307617664
