Algoritmo,Problema,M,is_engineering,n_rows,n_unique_runs,run_min,run_max,expected_window,status
NSGAII,DTLZ5,M2,False,60,60,1,60,1-60,ok
NSGAII,DTLZ5,M3,False,60,60,1,60,1-60,ok
NSGAII,DTLZ6,M2,False,60,60,1,60,1-60,ok
NSGAII,DTLZ6,M3,False,60,60,1,60,1-60,ok
NSGAII,DTLZ7,M2,False,60,60,1,60,1-60,ok
NSGAII,DTLZ7,M3,False,60,60,1,60,1-60,ok
NSGAII,MaF1,M2,False,60,60,1,60,1-60,ok
NSGAII,MaF1,M3,False,60,60,1,60,1-60,ok
NSGAII,MaF2,M2,False,60,60,1,60,1-60,ok
NSGAII,MaF2,M3,False,60,60,1,60,1-60,ok
NSGAII,MaF3,M2,False,60,60,1,60,1-60,ok
NSGAII,MaF3,M3,False,60,60,1,60,1-60,ok
NSGAII,MaF4,M2,False,60,60,1,60,1-60,ok
NSGAII,MaF4,M3,False,60,60,1,60,1-60,ok
NSGAII,MaF5,M2,False,60,60,1,60,1-60,ok
NSGAII,MaF5,M3,False,60,60,1,60,1-60,ok
NSGAII,MaF6,M2,False,60,60,1,60,1-60,ok
NSGAII,MaF6,M3,False,60,60,1,60,1-60,ok
NSGAII,MaF7,M2,False,60,60,1,60,1-60,ok
NSGAII,MaF7,M3,False,60,60,1,60,1-60,ok
NSGAII,WFG1,M2,False,60,60,1,60,1-60,ok
NSGAII,WFG1,M3,False,60,60,1,60,1-60,ok
NSGAII,WFG2,M2,False,60,60,1,60,1-60,ok
NSGAII,WFG2,M3,False,60,60,1,60,1-60,ok
NSGAII,WFG3,M2,False,60,60,1,60,1-60,ok
NSGAII,WFG3,M3,False,60,60,1,60,1-60,ok
NSGAII,WFG4,M2,False,60,60,1,60,1-60,ok
NSGAII,WFG4,M3,False,60,60,1,60,1-60,ok
NSGAII,WFG5,M2,False,60,60,1,60,1-60,ok
NSGAII,WFG5,M3,False,60,60,1,60,1-60,ok
NSGAII,WFG6,M2,False,60,60,1,60,1-60,ok
NSGAII,WFG6,M3,False,60,60,1,60,1-60,ok
NSGAII,WFG7,M2,False,60,60,1,60,1-60,ok
NSGAII,WFG7,M3,False,60,60,1,60,1-60,ok
NSGAII,WFG8,M2,False,60,60,1,60,1-60,ok
NSGAII,WFG8,M3,False,60,60,1,60,1-60,ok
NSGAII,WFG9,M2,False,60,60,1,60,1-60,ok
NSGAII,WFG9,M3,False,60,60,1,60,1-60,ok
NSGAII,ZDT1,M2,False,60,60,1,60,1-60,ok
NSGAII,ZDT2,M2,False,60,60,1,60,1-60,ok
NSGAII,ZDT3,M2,False,60,60,1,60,1-60,ok
NSGAII,ZDT4,M2,False,60,60,1,60,1-60,ok
NSGAII,ZDT6,M2,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ1,M2,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ1,M3,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ2,M2,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ2,M3,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ3,M2,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ3,M3,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ4,M2,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ4,M3,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ5,M2,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ5,M3,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ6,M2,False,60,60,1,60,1-60,ok
NSGAIII,DTLZ6,M3,False,60,60,1,60,1-60,ok
