metric,suite,problem,M,baseline,A12,significant,p_value
IGD,WFG,WFG3,M3,SPEA2SDE,0.009444444444444445,True,1.924051280562791e-20
IGD,WFG,WFG3,M3,NSGAII,0.5638888888888889,False,0.2283721993204626
IGD,WFG,WFG3,M3,NSGAIII,0.8947222222222222,True,8.939774998661712e-14
IGD,WFG,WFG3,M3,MOEAD,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG3,M3,AGEMOEAII,0.0,True,3.5565709749847226e-21
IGD,WFG,WFG3,M3,ARMOEA,0.9941666666666666,True,1.0127370932884594e-20
IGD,WFG,WFG4,M3,SPEA2,0.8072222222222222,True,6.5384003124538474e-09
IGD,WFG,WFG4,M3,MFOSPEA2,0.81,True,4.774217923018101e-09
IGD,WFG,WFG4,M3,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M3,NSGAIII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M3,MOEAD,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M3,AGEMOEAII,0.5844444444444444,False,0.11116874315291511
IGD,WFG,WFG4,M3,ARMOEA,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG5,M3,SPEA2,0.8441666666666666,True,8.008586969540811e-11
IGD,WFG,WFG5,M3,MFOSPEA2,0.8119444444444445,True,3.8248088528124494e-09
IGD,WFG,WFG5,M3,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG5,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG5,M3,NSGAIII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG5,M3,MOEAD,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG5,M3,AGEMOEAII,0.9622222222222222,True,2.5218378206784647e-18
IGD,WFG,WFG5,M3,ARMOEA,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG6,M3,SPEA2,0.5327777777777778,False,0.5374226858243835
IGD,WFG,WFG6,M3,MFOSPEA2,0.5752777777777778,False,0.15567849615993545
IGD,WFG,WFG6,M3,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG6,M3,NSGAII,0.9994444444444445,True,3.931323565143429e-21
IGD,WFG,WFG6,M3,NSGAIII,0.4988888888888889,False,0.9853434967954952
IGD,WFG,WFG6,M3,MOEAD,0.9533333333333334,True,1.098208794025851e-17
IGD,WFG,WFG6,M3,AGEMOEAII,0.355,True,0.006197117536635188
IGD,WFG,WFG6,M3,ARMOEA,0.49916666666666665,False,0.9895307807451666
IGD,WFG,WFG7,M3,SPEA2,0.7555555555555555,True,1.392162775189286e-06
IGD,WFG,WFG7,M3,MFOSPEA2,0.8083333333333333,True,5.767448759981875e-09
IGD,WFG,WFG7,M3,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG7,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG7,M3,NSGAIII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG7,M3,MOEAD,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG7,M3,AGEMOEAII,0.5125,False,0.8153231469958828
IGD,WFG,WFG7,M3,ARMOEA,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG8,M3,SPEA2,0.6330555555555556,True,0.012022825407617432
IGD,WFG,WFG8,M3,MFOSPEA2,0.7822222222222223,True,9.821670778401889e-08
IGD,WFG,WFG8,M3,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG8,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG8,M3,NSGAIII,0.012777777777777779,True,3.4651459261461275e-20
IGD,WFG,WFG8,M3,MOEAD,0.96,True,3.652527001763173e-18
IGD,WFG,WFG8,M3,AGEMOEAII,0.17888888888888888,True,1.3211618948992586e-09
IGD,WFG,WFG8,M3,ARMOEA,0.0,True,3.5565709749847226e-21
IGD,WFG,WFG9,M3,SPEA2,0.8705555555555555,True,2.5768576646720453e-12
IGD,WFG,WFG9,M3,MFOSPEA2,0.8994444444444445,True,4.5257116134647465e-14
IGD,WFG,WFG9,M3,SPEA2SDE,0.9511111111111111,True,1.5795616385044056e-17
IGD,WFG,WFG9,M3,NSGAII,0.95,True,1.8931234124387105e-17
IGD,WFG,WFG9,M3,NSGAIII,0.9441666666666667,True,4.863525337993642e-17
IGD,WFG,WFG9,M3,MOEAD,0.9508333333333333,True,1.652779364242068e-17
IGD,WFG,WFG9,M3,AGEMOEAII,0.6841666666666667,True,0.0005066358477013707
IGD,WFG,WFG9,M3,ARMOEA,0.9377777777777778,True,1.3482643905431285e-16
IGD,MaF,MaF1,M2,SPEA2,0.8722222222222222,True,2.0571849835052572e-12
IGD,MaF,MaF1,M2,MFOSPEA2,0.8227777777777778,True,1.085556976605772e-09
IGD,MaF,MaF1,M2,SPEA2SDE,0.9983333333333333,True,4.8018805787163215e-21
IGD,MaF,MaF1,M2,NSGAII,1.0,True,3.5565709749847226e-21
IGD,MaF,MaF1,M2,NSGAIII,0.0,True,3.5565709749847226e-21
IGD,MaF,MaF1,M2,MOEAD,0.0,True,3.5565709749847226e-21
IGD,MaF,MaF1,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,MaF,MaF1,M2,ARMOEA,0.0,True,3.5565709749847226e-21
IGD,MaF,MaF2,M2,SPEA2,0.9522222222222222,True,1.3173623434947598e-17
IGD,MaF,MaF2,M2,MFOSPEA2,0.9441666666666667,True,4.863525337993642e-17
