algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ4,DTLZ,2,11,4021,0.004836998453712601,0.34680070426036147,1.8857979999999985
IVFNSGAII,DTLZ4,DTLZ,2,11,4022,0.742091338992484,0.09090908983607315,2.712882000000003
IVFNSGAII,DTLZ4,DTLZ,2,11,4023,0.7420913404056111,0.0909090863738049,2.7902849999999995
IVFNSGAII,DTLZ4,DTLZ,2,11,4024,0.005201526808130181,0.3466974948501671,1.815998000000001
IVFNSGAII,DTLZ4,DTLZ,2,11,4025,0.005125063370822249,0.3467391953064058,2.12477
IVFNSGAII,DTLZ4,DTLZ,2,11,4026,0.7420913390101136,0.09090908979287748,2.9316349999999933
IVFNSGAII,DTLZ4,DTLZ,2,11,4027,0.005181726440690983,0.3464439051311121,2.6426009999999978
IVFNSGAII,DTLZ4,DTLZ,2,11,4028,0.004869584191524891,0.3466812909692638,2.2547930000000025
IVFNSGAII,DTLZ4,DTLZ,2,11,4029,0.004850140063297363,0.3468335638224066,2.057301
IVFNSGAII,DTLZ4,DTLZ,2,11,4030,0.004985467908849282,0.34661173411591406,2.504422000000002
IVFNSGAII,DTLZ4,DTLZ,3,12,4001,0.9459249267867877,0.09090908922144003,2.1466399999999957
IVFNSGAII,DTLZ4,DTLZ,3,12,4002,0.06836825452512717,0.5336471263103326,1.9301730000000015
IVFNSGAII,DTLZ4,DTLZ,3,12,4003,0.06490413212121227,0.5371590921386977,2.0585050000000016
IVFNSGAII,DTLZ4,DTLZ,3,12,4004,0.06486381239089516,0.538409128024964,2.2961570000000022
IVFNSGAII,DTLZ4,DTLZ,3,12,4005,0.06717477099372003,0.5373799779320835,2.333441
IVFNSGAII,DTLZ4,DTLZ,3,12,4006,0.06810317250449936,0.5401061145666217,1.8361689999999984
IVFNSGAII,DTLZ4,DTLZ,3,12,4007,0.06279422089132153,0.5395168079352743,1.912005999999999
IVFNSGAII,DTLZ4,DTLZ,3,12,4008,0.06218380366063273,0.5414672554878253,3.2454340000000013
IVFNSGAII,DTLZ4,DTLZ,3,12,4009,0.06539562055431034,0.5409637663476603,2.2607970000000006
IVFNSGAII,DTLZ4,DTLZ,3,12,4010,0.07235319733643465,0.522956311816582,2.5111280000000002
IVFNSGAII,DTLZ4,DTLZ,3,12,4011,0.0652029804719622,0.5296524998604553,2.3556709999999974
IVFNSGAII,DTLZ4,DTLZ,3,12,4012,0.06651901385933885,0.5394275834678783,2.283682000000002
IVFNSGAII,DTLZ4,DTLZ,3,12,4013,0.06538983587403105,0.538697684978709,3.028997999999999
