Grupo,Algoritmo,Problema,Run,M,D,IGDp,arquivo_original
DTLZ,IVFSPEA2,DTLZ3,26,M2,D11,0.002013985322347088,IVFSPEA2_DTLZ3_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ3,27,M2,D11,0.003135857427110755,IVFSPEA2_DTLZ3_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ3,28,M2,D11,0.002245806490678446,IVFSPEA2_DTLZ3_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ3,29,M2,D11,0.002525819377124766,IVFSPEA2_DTLZ3_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ3,30,M2,D11,0.0019499862091720893,IVFSPEA2_DTLZ3_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ3,31,M2,D11,0.0023258524557285653,IVFSPEA2_DTLZ3_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ3,32,M2,D11,0.0025734934998147166,IVFSPEA2_DTLZ3_M2_D11_32.mat
DTLZ,IVFSPEA2,DTLZ3,33,M2,D11,0.002852392522689146,IVFSPEA2_DTLZ3_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ3,34,M2,D11,0.0024338374782408964,IVFSPEA2_DTLZ3_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ3,35,M2,D11,0.0031470703711123484,IVFSPEA2_DTLZ3_M2_D11_35.mat
DTLZ,IVFSPEA2,DTLZ3,36,M2,D11,0.003456070751540926,IVFSPEA2_DTLZ3_M2_D11_36.mat
DTLZ,IVFSPEA2,DTLZ3,37,M2,D11,0.0023373888219109288,IVFSPEA2_DTLZ3_M2_D11_37.mat
DTLZ,IVFSPEA2,DTLZ3,38,M2,D11,0.0025894081101902337,IVFSPEA2_DTLZ3_M2_D11_38.mat
DTLZ,IVFSPEA2,DTLZ3,39,M2,D11,0.0025106519335561656,IVFSPEA2_DTLZ3_M2_D11_39.mat
DTLZ,IVFSPEA2,DTLZ3,40,M2,D11,0.0038769012533676787,IVFSPEA2_DTLZ3_M2_D11_40.mat
DTLZ,IVFSPEA2,DTLZ3,41,M2,D11,0.0025158999288125835,IVFSPEA2_DTLZ3_M2_D11_41.mat
DTLZ,IVFSPEA2,DTLZ3,42,M2,D11,0.002034287530773312,IVFSPEA2_DTLZ3_M2_D11_42.mat
DTLZ,IVFSPEA2,DTLZ3,43,M2,D11,0.0020911061499064684,IVFSPEA2_DTLZ3_M2_D11_43.mat
DTLZ,IVFSPEA2,DTLZ3,44,M2,D11,0.003665479310023257,IVFSPEA2_DTLZ3_M2_D11_44.mat
DTLZ,IVFSPEA2,DTLZ3,45,M2,D11,0.001969041780764654,IVFSPEA2_DTLZ3_M2_D11_45.mat
DTLZ,IVFSPEA2,DTLZ3,46,M2,D11,0.002707296363385862,IVFSPEA2_DTLZ3_M2_D11_46.mat
DTLZ,IVFSPEA2,DTLZ3,47,M2,D11,0.0023617319986437026,IVFSPEA2_DTLZ3_M2_D11_47.mat
DTLZ,IVFSPEA2,DTLZ3,48,M2,D11,0.0019893361780300234,IVFSPEA2_DTLZ3_M2_D11_48.mat
DTLZ,IVFSPEA2,DTLZ3,49,M2,D11,0.004538261995560631,IVFSPEA2_DTLZ3_M2_D11_49.mat
DTLZ,IVFSPEA2,DTLZ3,50,M2,D11,0.0019231574820803878,IVFSPEA2_DTLZ3_M2_D11_50.mat
DTLZ,IVFSPEA2,DTLZ3,51,M2,D11,0.003225181033769887,IVFSPEA2_DTLZ3_M2_D11_51.mat
DTLZ,IVFSPEA2,DTLZ3,52,M2,D11,0.0025609050078682543,IVFSPEA2_DTLZ3_M2_D11_52.mat
DTLZ,IVFSPEA2,DTLZ3,53,M2,D11,0.0023537318610088427,IVFSPEA2_DTLZ3_M2_D11_53.mat
DTLZ,IVFSPEA2,DTLZ3,54,M2,D11,0.0025672654360052415,IVFSPEA2_DTLZ3_M2_D11_54.mat
DTLZ,IVFSPEA2,DTLZ3,55,M2,D11,0.0020538261321419752,IVFSPEA2_DTLZ3_M2_D11_55.mat
DTLZ,IVFSPEA2,DTLZ3,56,M2,D11,0.0029986907250762187,IVFSPEA2_DTLZ3_M2_D11_56.mat
DTLZ,IVFSPEA2,DTLZ3,57,M2,D11,0.002273566908082511,IVFSPEA2_DTLZ3_M2_D11_57.mat
DTLZ,IVFSPEA2,DTLZ3,58,M2,D11,0.00242053755672953,IVFSPEA2_DTLZ3_M2_D11_58.mat
DTLZ,IVFSPEA2,DTLZ3,59,M2,D11,0.002801369062380618,IVFSPEA2_DTLZ3_M2_D11_59.mat
DTLZ,IVFSPEA2,DTLZ3,60,M2,D11,0.003617977108032217,IVFSPEA2_DTLZ3_M2_D11_60.mat
DTLZ,IVFSPEA2,DTLZ4,1,M2,D11,0.001918838177967866,IVFSPEA2_DTLZ4_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ4,2,M2,D11,0.37678708432633184,IVFSPEA2_DTLZ4_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ4,3,M2,D11,0.0018532771233098365,IVFSPEA2_DTLZ4_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ4,4,M2,D11,0.376787084968445,IVFSPEA2_DTLZ4_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ4,5,M2,D11,0.0018214114645040567,IVFSPEA2_DTLZ4_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ4,6,M2,D11,0.37678708365849384,IVFSPEA2_DTLZ4_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ4,7,M2,D11,0.0018415004585719927,IVFSPEA2_DTLZ4_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ4,8,M2,D11,0.0018339317452976157,IVFSPEA2_DTLZ4_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ4,9,M2,D11,0.0018895255533121662,IVFSPEA2_DTLZ4_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ4,10,M2,D11,0.001821084734155306,IVFSPEA2_DTLZ4_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ4,11,M2,D11,0.3767870843951209,IVFSPEA2_DTLZ4_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ4,12,M2,D11,0.3767870836978569,IVFSPEA2_DTLZ4_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ4,13,M2,D11,0.37678708349290563,IVFSPEA2_DTLZ4_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ4,14,M2,D11,0.0018108624633968197,IVFSPEA2_DTLZ4_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ4,15,M2,D11,0.0019384232571558143,IVFSPEA2_DTLZ4_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ4,16,M2,D11,0.376787086975027,IVFSPEA2_DTLZ4_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ4,17,M2,D11,0.001931096912772072,IVFSPEA2_DTLZ4_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ4,18,M2,D11,0.3767870841855027,IVFSPEA2_DTLZ4_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ4,19,M2,D11,0.3767870856176447,IVFSPEA2_DTLZ4_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ4,20,M2,D11,0.0018437273272001043,IVFSPEA2_DTLZ4_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ4,21,M2,D11,0.001815490920638944,IVFSPEA2_DTLZ4_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ4,22,M2,D11,0.0018516025765155987,IVFSPEA2_DTLZ4_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ4,23,M2,D11,0.37678708584374604,IVFSPEA2_DTLZ4_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ4,24,M2,D11,0.0018548290098715967,IVFSPEA2_DTLZ4_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ4,25,M2,D11,0.0018702672631173013,IVFSPEA2_DTLZ4_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ4,26,M2,D11,0.001829642191913549,IVFSPEA2_DTLZ4_M2_D11_26.mat
