Grupo,Problema,Algoritmo,mean,std,min,max
MaF,MaF7_M2,IVFSPEA2,0.012067708569919964,0.056537815196267376,0.004552886128446343,0.44270791746966826
MaF,MaF7_M2,MFOSPEA2,0.00476462199518247,9.533953773364723e-05,0.004559350326695313,0.005104422866310784
MaF,MaF7_M2,MOEAD,0.16775991541057395,0.21277163939104915,0.006824459745224532,0.44512642192999263
MaF,MaF7_M2,NSGAII,0.012710699278882541,0.05647729698497421,0.005049139357286583,0.4428879965062935
MaF,MaF7_M2,NSGAIII,0.005113531743878786,6.945733934014962e-05,0.004924067032248167,0.005266680301698038
MaF,MaF7_M2,SPEA2,0.004783965375948311,0.00010601616998883546,0.0045827627218712795,0.005148718293673995
MaF,MaF7_M2,SPEA2SDE,0.005230742745366982,0.00021105937589885722,0.0048347034224664985,0.005911298193351566
MaF,MaF7_M3,IVFSPEA2,0.07431075885439434,0.06306575438377611,0.057772971241673216,0.348046723148159
MaF,MaF7_M3,MFOSPEA2,0.06511168607067565,0.03724171937625275,0.057277505163083935,0.3485699284083141
MaF,MaF7_M3,MOEAD,0.16567374936002377,0.08334300062171486,0.15119033709526006,0.8003114055455922
MaF,MaF7_M3,NSGAII,0.07771825393482466,0.0049603175911241346,0.07035680127892867,0.08993508702043805
MaF,MaF7_M3,NSGAIII,0.09648741198561775,0.07752896184645154,0.06969852003709344,0.39405945816386856
MaF,MaF7_M3,SPEA2,0.07438694079014395,0.06266330186156037,0.057735113647308774,0.34942075305746706
MaF,MaF7_M3,SPEA2SDE,0.059556590613884706,0.0026447839223176514,0.05495927485511177,0.06878633073639298
WFG,WFG1_M2,IVFSPEA2,0.012114633644543292,0.0001093652113099557,0.011812012554794988,0.012343265026052434
WFG,WFG1_M2,MFOSPEA2,0.10572733243895228,0.014178859996907935,0.04274998086727548,0.12788205785679277
WFG,WFG1_M2,MOEAD,0.04332292515688144,0.024503184699708285,0.024588342435534098,0.11958935993863888
WFG,WFG1_M2,NSGAII,0.021324609735244426,0.001813343577514932,0.017876679665711187,0.028322352857859674
WFG,WFG1_M2,NSGAIII,0.09057487675233321,0.020556554474039836,0.020242103451006608,0.12113384594084689
WFG,WFG1_M2,SPEA2,0.03784838174822882,0.024498308141140242,0.016908541475625066,0.10365530234706571
WFG,WFG1_M2,SPEA2SDE,0.049605396970474294,0.0253587590808881,0.018828967880180177,0.1099153047419185
WFG,WFG1_M3,IVFSPEA2,0.15019422534066865,0.0031430841335570846,0.14451173426384764,0.15868745857195246
WFG,WFG1_M3,MFOSPEA2,0.15289029908808754,0.004613998066188587,0.14503191762799128,0.17598190775684602
WFG,WFG1_M3,MOEAD,0.22907951395927023,0.0054272426695696555,0.21996956209442695,0.24477119553582818
WFG,WFG1_M3,NSGAII,0.22384049288973742,0.011042787802317232,0.1993547385149076,0.2520063752019245
WFG,WFG1_M3,NSGAIII,0.1490415105736526,0.003521715057206123,0.1426692617875912,0.1615561631626939
WFG,WFG1_M3,SPEA2,0.15277027791764314,0.003761537591772717,0.14397126073616634,0.1625425851982567
WFG,WFG1_M3,SPEA2SDE,0.17728563178952825,0.01675606901190516,0.15494526070495745,0.2210830147881772
WFG,WFG2_M2,IVFSPEA2,0.011110392696766084,0.00021862594198259294,0.010695478300035623,0.011689492321284923
WFG,WFG2_M2,MFOSPEA2,0.011019427493678178,0.0001713197077721107,0.010707330390581422,0.011522236991021657
WFG,WFG2_M2,MOEAD,0.043690066952958025,0.0019860209115449452,0.041839658549138306,0.05174493433044325
