Grupo,Algoritmo,Problema,Run,M,D,HV,arquivo_original
DTLZ,IVFSPEA2,DTLZ3,23,M2,D11,0.3465592673465547,IVFSPEA2_DTLZ3_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ3,24,M2,D11,0.34720998307305867,IVFSPEA2_DTLZ3_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ3,25,M2,D11,0.34685377740323153,IVFSPEA2_DTLZ3_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ3,26,M2,D11,0.34715036666121113,IVFSPEA2_DTLZ3_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ3,27,M2,D11,0.34541706121362736,IVFSPEA2_DTLZ3_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ3,28,M2,D11,0.34679451648185794,IVFSPEA2_DTLZ3_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ3,29,M2,D11,0.3463403020275062,IVFSPEA2_DTLZ3_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ3,30,M2,D11,0.3472656328146791,IVFSPEA2_DTLZ3_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ3,31,M2,D11,0.3466688880894937,IVFSPEA2_DTLZ3_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ3,32,M2,D11,0.3462658313029302,IVFSPEA2_DTLZ3_M2_D11_32.mat
DTLZ,IVFSPEA2,DTLZ3,33,M2,D11,0.3458651065879,IVFSPEA2_DTLZ3_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ3,34,M2,D11,0.34651853826568313,IVFSPEA2_DTLZ3_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ3,35,M2,D11,0.3453985899414241,IVFSPEA2_DTLZ3_M2_D11_35.mat
DTLZ,IVFSPEA2,DTLZ3,36,M2,D11,0.3448834134732407,IVFSPEA2_DTLZ3_M2_D11_36.mat
DTLZ,IVFSPEA2,DTLZ3,37,M2,D11,0.34662538810892884,IVFSPEA2_DTLZ3_M2_D11_37.mat
DTLZ,IVFSPEA2,DTLZ3,38,M2,D11,0.34618918240479174,IVFSPEA2_DTLZ3_M2_D11_38.mat
DTLZ,IVFSPEA2,DTLZ3,39,M2,D11,0.3463726285330433,IVFSPEA2_DTLZ3_M2_D11_39.mat
DTLZ,IVFSPEA2,DTLZ3,40,M2,D11,0.34433215671809747,IVFSPEA2_DTLZ3_M2_D11_40.mat
DTLZ,IVFSPEA2,DTLZ3,41,M2,D11,0.3463854968152154,IVFSPEA2_DTLZ3_M2_D11_41.mat
DTLZ,IVFSPEA2,DTLZ3,42,M2,D11,0.34714985200415804,IVFSPEA2_DTLZ3_M2_D11_42.mat
DTLZ,IVFSPEA2,DTLZ3,43,M2,D11,0.34702450347012703,IVFSPEA2_DTLZ3_M2_D11_43.mat
DTLZ,IVFSPEA2,DTLZ3,44,M2,D11,0.34462016013135166,IVFSPEA2_DTLZ3_M2_D11_44.mat
DTLZ,IVFSPEA2,DTLZ3,45,M2,D11,0.3472267009434081,IVFSPEA2_DTLZ3_M2_D11_45.mat
DTLZ,IVFSPEA2,DTLZ3,46,M2,D11,0.34608432548853657,IVFSPEA2_DTLZ3_M2_D11_46.mat
DTLZ,IVFSPEA2,DTLZ3,47,M2,D11,0.3465952546309146,IVFSPEA2_DTLZ3_M2_D11_47.mat
DTLZ,IVFSPEA2,DTLZ3,48,M2,D11,0.34719738269395944,IVFSPEA2_DTLZ3_M2_D11_48.mat
DTLZ,IVFSPEA2,DTLZ3,49,M2,D11,0.34331210912114507,IVFSPEA2_DTLZ3_M2_D11_49.mat
DTLZ,IVFSPEA2,DTLZ3,50,M2,D11,0.347271148331507,IVFSPEA2_DTLZ3_M2_D11_50.mat
DTLZ,IVFSPEA2,DTLZ3,51,M2,D11,0.3452809845815073,IVFSPEA2_DTLZ3_M2_D11_51.mat
DTLZ,IVFSPEA2,DTLZ3,52,M2,D11,0.34626071888243815,IVFSPEA2_DTLZ3_M2_D11_52.mat
DTLZ,IVFSPEA2,DTLZ3,53,M2,D11,0.3466378924688137,IVFSPEA2_DTLZ3_M2_D11_53.mat
DTLZ,IVFSPEA2,DTLZ3,54,M2,D11,0.34631924122654256,IVFSPEA2_DTLZ3_M2_D11_54.mat
DTLZ,IVFSPEA2,DTLZ3,55,M2,D11,0.34709910626958745,IVFSPEA2_DTLZ3_M2_D11_55.mat
DTLZ,IVFSPEA2,DTLZ3,56,M2,D11,0.3456454257720928,IVFSPEA2_DTLZ3_M2_D11_56.mat
DTLZ,IVFSPEA2,DTLZ3,57,M2,D11,0.3467650202080706,IVFSPEA2_DTLZ3_M2_D11_57.mat
DTLZ,IVFSPEA2,DTLZ3,58,M2,D11,0.34648404376759506,IVFSPEA2_DTLZ3_M2_D11_58.mat
DTLZ,IVFSPEA2,DTLZ3,59,M2,D11,0.34592445355438356,IVFSPEA2_DTLZ3_M2_D11_59.mat
DTLZ,IVFSPEA2,DTLZ3,60,M2,D11,0.34467667619740555,IVFSPEA2_DTLZ3_M2_D11_60.mat
DTLZ,IVFSPEA2,DTLZ4,1,M2,D11,0.34724592082620886,IVFSPEA2_DTLZ4_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ4,2,M2,D11,0.09090908980942525,IVFSPEA2_DTLZ4_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ4,3,M2,D11,0.34739478574797616,IVFSPEA2_DTLZ4_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ4,4,M2,D11,0.09090908922568652,IVFSPEA2_DTLZ4_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ4,5,M2,D11,0.3474765571650145,IVFSPEA2_DTLZ4_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ4,6,M2,D11,0.09090909041655149,IVFSPEA2_DTLZ4_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ4,7,M2,D11,0.3474558284246072,IVFSPEA2_DTLZ4_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ4,8,M2,D11,0.34741062224165103,IVFSPEA2_DTLZ4_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ4,9,M2,D11,0.34734824253797253,IVFSPEA2_DTLZ4_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ4,10,M2,D11,0.34747220091812725,IVFSPEA2_DTLZ4_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ4,11,M2,D11,0.09090908974689016,IVFSPEA2_DTLZ4_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ4,12,M2,D11,0.09090909038076656,IVFSPEA2_DTLZ4_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ4,13,M2,D11,0.09090909056708585,IVFSPEA2_DTLZ4_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ4,14,M2,D11,0.3474583358765077,IVFSPEA2_DTLZ4_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ4,15,M2,D11,0.34727086242784566,IVFSPEA2_DTLZ4_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ4,16,M2,D11,0.09090908740152104,IVFSPEA2_DTLZ4_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ4,17,M2,D11,0.34728347192151177,IVFSPEA2_DTLZ4_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ4,18,M2,D11,0.09090908993745228,IVFSPEA2_DTLZ4_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ4,19,M2,D11,0.09090908863550562,IVFSPEA2_DTLZ4_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ4,20,M2,D11,0.3474046031580164,IVFSPEA2_DTLZ4_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ4,21,M2,D11,0.3474941443692648,IVFSPEA2_DTLZ4_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ4,22,M2,D11,0.3474145701190226,IVFSPEA2_DTLZ4_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ4,23,M2,D11,0.09090908842995837,IVFSPEA2_DTLZ4_M2_D11_23.mat
