Grupo,Algoritmo,Problema,Run,M,D,Spread,arquivo_original
DTLZ,IVFSPEA2,DTLZ3,49,M2,D11,0.12485612350171252,IVFSPEA2_DTLZ3_M2_D11_49.mat
DTLZ,IVFSPEA2,DTLZ3,50,M2,D11,0.12284937561166279,IVFSPEA2_DTLZ3_M2_D11_50.mat
DTLZ,IVFSPEA2,DTLZ3,51,M2,D11,0.1050001542303463,IVFSPEA2_DTLZ3_M2_D11_51.mat
DTLZ,IVFSPEA2,DTLZ3,52,M2,D11,0.10407507455413417,IVFSPEA2_DTLZ3_M2_D11_52.mat
DTLZ,IVFSPEA2,DTLZ3,53,M2,D11,0.10487830177462973,IVFSPEA2_DTLZ3_M2_D11_53.mat
DTLZ,IVFSPEA2,DTLZ3,54,M2,D11,0.08658463852653757,IVFSPEA2_DTLZ3_M2_D11_54.mat
DTLZ,IVFSPEA2,DTLZ3,55,M2,D11,0.09294236536258518,IVFSPEA2_DTLZ3_M2_D11_55.mat
DTLZ,IVFSPEA2,DTLZ3,56,M2,D11,0.08030621407742214,IVFSPEA2_DTLZ3_M2_D11_56.mat
DTLZ,IVFSPEA2,DTLZ3,57,M2,D11,0.06966825005881684,IVFSPEA2_DTLZ3_M2_D11_57.mat
DTLZ,IVFSPEA2,DTLZ3,58,M2,D11,0.11742601961509172,IVFSPEA2_DTLZ3_M2_D11_58.mat
DTLZ,IVFSPEA2,DTLZ3,59,M2,D11,0.09238955706608187,IVFSPEA2_DTLZ3_M2_D11_59.mat
DTLZ,IVFSPEA2,DTLZ3,60,M2,D11,0.09307460038436725,IVFSPEA2_DTLZ3_M2_D11_60.mat
DTLZ,IVFSPEA2,DTLZ4,1,M2,D11,0.12996594934547692,IVFSPEA2_DTLZ4_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ4,2,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ4,3,M2,D11,0.11548858203048991,IVFSPEA2_DTLZ4_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ4,4,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ4,5,M2,D11,0.12125889317751162,IVFSPEA2_DTLZ4_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ4,6,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ4,7,M2,D11,0.0993652317355217,IVFSPEA2_DTLZ4_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ4,8,M2,D11,0.12758004679436893,IVFSPEA2_DTLZ4_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ4,9,M2,D11,0.12457452283287104,IVFSPEA2_DTLZ4_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ4,10,M2,D11,0.106820006332309,IVFSPEA2_DTLZ4_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ4,11,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ4,12,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ4,13,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ4,14,M2,D11,0.10527827787346568,IVFSPEA2_DTLZ4_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ4,15,M2,D11,0.12485951517603272,IVFSPEA2_DTLZ4_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ4,16,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ4,17,M2,D11,0.1390916587612683,IVFSPEA2_DTLZ4_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ4,18,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ4,19,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ4,20,M2,D11,0.1475598010845705,IVFSPEA2_DTLZ4_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ4,21,M2,D11,0.10989640781207775,IVFSPEA2_DTLZ4_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ4,22,M2,D11,0.1289328265218212,IVFSPEA2_DTLZ4_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ4,23,M2,D11,1.0,IVFSPEA2_DTLZ4_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ4,24,M2,D11,0.126983862253971,IVFSPEA2_DTLZ4_M2_D11_24.mat
